Baseyear,Type of school,Establishment classification,Region,Status,School,total,degree_subtotal,Humanities and social science field,Natural science field,Engineering field,Arts and physical education field,Medicine field,Students who co-operate curriculum(B),training_subtotal,Students for language course,Exchange students,Visiting students,Other trainees,No. of students above TOPIK Level 4 (art and physical education class 3),No. of students above TOEFL 530 (English track),English-speaking foreign students,Rate of students with satisfactory language proficiency (%)(E/A)x100
2023,University,Private,Busan,Previous,Tongmyong University _Principal university,539,523,431,1,61,30,0,0,16,14,2,0,0,104,177,0,53.7
2023,University,Private,Chungcheongbuk-do,Previous,U1 University _Principal university,282,102,87,6,6,3,0,0,180,180,0,0,0,10,0,0,9.8
2023,University,Private,Gyeongsangbuk-do,Previous,Uiduk University _Principal university,87,76,67,2,4,3,0,0,11,10,1,0,0,56,0,0,73.7
2023,University,Special Act for corporation,Ulsan,Previous,Ulsan National Institute of Science and Technology _Principal university,117,116,17,8,91,0,0,0,1,0,0,0,1,0,83,13,82.8
2023,University,Public,Seoul,Previous,University Of Seoul _Principal university,737,228,190,5,27,6,0,0,509,247,262,0,0,219,0,0,96.1
2023,University,Private,Ulsan,Previous,University Of Ulsan _Principal university,297,210,161,7,27,15,0,0,87,0,87,0,0,69,61,3,63.3
2023,Cyber University (University),Private,Jeollabuk-do,Previous,Wonkwang Digital University _Principal university,55,55,28,14,0,13,0,0,0,0,0,0,0,0,0,0,0
2023,University,Private,Jeollabuk-do,Previous,Wonkwang University _Principal university,86,37,17,8,8,3,1,0,49,0,49,0,0,11,0,0,29.7
2023,University,Private,Daejeon,Previous,Woosong University _Principal university,"2,194","1,639","1,215",3,209,212,0,0,555,59,495,1,0,41,659,33,44.7
2023,University,Private,Jeollabuk-do,Previous,Woosuk University _Principal university,653,607,493,62,45,6,1,13,33,22,11,0,0,119,0,0,19.6
2023,University,Private,Gyeongsangbuk-do,Previous,Yeungnam University _Principal university,935,615,476,23,89,27,0,0,320,219,101,0,0,232,0,0,37.7
2023,University,Private,Gyeonggi-do,Previous,Yewon Arts University _Campus 2,30,5,0,0,0,5,0,0,25,25,0,0,0,1,0,0,20
2023,University,Private,Jeollabuk-do,Previous,Yewon Arts University _Principal university,370,370,0,0,0,370,0,0,0,0,0,0,0,66,25,5,25.9
2023,University,Private,Gyeonggi-do,Previous,Yong In University _Principal university,326,65,21,1,0,43,0,0,261,261,0,0,0,19,4,0,35.4
2023,University,Private,Gangwon-do,Previous,Yonsei University MIRAE Campus _Branch campus,482,423,357,37,20,0,9,0,59,37,22,0,0,86,1,2,21
2023,University,Private,Seoul,Previous,Yonsei University _Principal university,"4,142","2,030","1,677",147,194,4,8,4,"2,108","1,244",502,362,0,"1,165",256,131,76.5
2023,University,Private,Gyeongsangbuk-do,Previous,Youngnam Theological University & Seminary _Principal university,10,10,10,0,0,0,0,0,0,0,0,0,0,3,0,0,30
2023,University,Private,Jeollanam-do,Previous,Youngsan University Of Seon Studies _Principal university,3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,100
2023,University,Private,Busan,Previous,Youngsan University _Campus 2,530,371,339,3,0,29,0,2,157,148,9,0,0,44,170,0,57.7
2023,University,Private,Gyeongsangnam-do,Previous,Youngsan University _Principal university,7,7,1,0,6,0,0,0,0,0,0,0,0,3,1,0,57.1
,,,,,,,,,,,,,,,,,,,,,,
