Baseyear,Type of school,Establishment classification,Region,Status,School,total,degree_subtotal,Humanities and social science field,Natural science field,Engineering field,Arts and physical education field,Medicine field,Students who co-operate curriculum(B),training_subtotal,Students for language course,Exchange students,Visiting students,Other trainees,No. of students above TOPIK Level 4 (art and physical education class 3),No. of students above TOEFL 530 (English track),English-speaking foreign students,Rate of students with satisfactory language proficiency (%)(E/A)x100
2023,University,National,Chungcheongnam-do,Previous,Kongju National University _Principal university,258,153,95,29,15,14,0,2,103,93,10,0,0,30,9,0,25.5
2023,University,Private,Chungcheongbuk-do,Previous,Konkuk University _Branch campus,96,89,41,4,0,44,0,0,7,3,4,0,0,33,0,0,37.1
2023,University,Private,Seoul,Previous,Konkuk University _Principal university,"2,185","1,153",790,32,139,192,0,0,"1,032",823,194,15,0,635,0,0,55.1
2023,Cyber University (University),Private,Daejeon,Previous,Konyang Cyber University _Principal university,10,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,University,Private,Daejeon,Previous,Konyang University _Campus 2,2,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,50
2023,University,Private,Chungcheongnam-do,Previous,Konyang University _Principal university,125,31,25,6,0,0,0,0,94,85,9,0,0,13,0,0,41.9
2023,University,Private,Seoul,Previous,Kookmin University _Principal university,"1,951","1,337","1,023",50,138,126,0,0,614,497,99,18,0,540,9,1,41.1
2023,University,Special Act for corporation,Daejeon,Previous,Korea Advanced Institute of Science and Technology(KAIST) _Principal university,444,385,3,71,311,0,0,0,59,0,53,0,6,16,0,0,4.2
2023,University,Private,Gyeonggi-do,Previous,Korea Aerospace University _Principal university,91,91,11,64,16,0,0,0,0,0,0,0,0,43,0,0,47.3
2023,Open University,National,Seoul,Previous,Korea National Open University _Principal university,419,419,366,48,2,3,0,0,0,0,0,0,0,0,0,0,0
2023,University,National,Seoul,Previous,Korea National Sport University _Principal university,6,6,0,0,0,6,0,0,0,0,0,0,0,5,0,0,83.3
2023,Various schools(university),Special Act for national universities,Seoul,Previous,Korea National University Of Arts _Principal university,96,51,0,0,0,51,0,0,45,0,45,0,0,6,0,0,11.8
2023,University,Special Act for national universities,Chungcheongnam-do,Previous,Korea National University Of Cultural Heritage _Principal university,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,100
2023,University,National,Chungcheongbuk-do,Previous,Korea National University Of Transportation _Principal university,77,40,34,0,5,1,0,0,37,17,20,0,0,22,0,0,55
2023,University,Private,Chungcheongnam-do,Previous,Korea Nazarene University _Principal university,279,70,64,0,0,6,0,0,209,209,0,0,0,9,24,4,52.9
2023,Cyber University (University),Private,Seoul,Previous,Korea Soongsil Cyber University _Principal university,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,University,Private,Sejong,Previous,Korea University Sejong Campus _Branch campus,474,384,279,45,45,15,0,0,90,68,17,5,0,11,0,0,2.9
2023,University,Private,Seoul,Previous,Korea University _Principal university,"3,358","1,708","1,300",74,309,25,0,0,"1,650",992,467,191,0,850,59,18,54.3
2023,University,Private,Seoul,Previous,Korean Bible University _Principal university,136,12,9,0,3,0,0,0,124,124,0,0,0,6,0,0,50
2023,University,Private,Busan,Previous,Kosin University _Principal university,52,44,35,2,0,7,0,0,8,8,0,0,0,27,0,0,61.4
2023,University,National,Gyeongsangbuk-do,Previous,Kumoh National Institute Of Technology _Principal university,95,34,9,0,25,0,0,2,59,33,26,0,0,2,0,0,5.9
2023,University,National,Jeollabuk-do,Previous,Kunsan National University _Principal university,322,287,162,3,48,74,0,0,35,17,18,0,0,45,0,0,15.7
2023,University,Private,Gwangju,Previous,Kwangju Women'S University _Principal university,883,272,240,32,0,0,0,0,611,611,0,0,0,83,0,0,30.5
2023,University,Private,Gwangju,Previous,Kwangshin University _Principal university,32,17,16,0,0,1,0,0,15,15,0,0,0,9,0,0,52.9
2023,University,Private,Seoul,Previous,Kwangwoon University _Principal university,989,847,737,3,106,1,0,0,142,104,38,0,0,398,0,0,47
2023,University,Private,Seoul,Previous,Kyonggi University _Campus 2,564,563,531,0,0,32,0,0,1,0,1,0,0,234,0,0,41.6
2023,University,Private,Gyeonggi-do,Previous,Kyonggi University _Principal university,980,514,474,7,22,11,0,0,466,402,62,2,0,173,8,8,36.8
2023,Cyber University (University),Private,Seoul,Previous,Kyung Hee Cyber University _Principal university,206,206,189,7,6,4,0,0,0,0,0,0,0,0,0,0,0
2023,University,Private,Seoul,Previous,Kyung Hee University _Principal university,"4,302","2,971","2,252",64,105,549,1,0,"1,331","1,048",273,0,10,"1,460",154,15,54.8
2023,University,Private,Gyeonggi-do,Previous,Kyungdong University _Campus 4,177,76,0,0,75,1,0,0,101,101,0,0,0,1,44,24,90.8
2023,University,Private,Gangwon-do,Previous,Kyungdong University _Principal university,678,623,553,0,70,0,0,0,55,54,1,0,0,6,508,50,90.5
2023,University,Private,Gyeongsangbuk-do,Previous,Kyungil University _Principal university,374,274,203,0,49,22,0,0,100,100,0,0,0,88,0,0,32.1
2023,University,Private,Gyeongsangnam-do,Previous,Kyungnam University _Principal university,297,240,178,4,47,11,0,0,57,50,7,0,0,46,0,0,19.2
2023,University,National,Daegu,Previous,Kyungpook National University _Principal university,"1,371",549,335,116,91,7,0,0,822,252,570,0,0,344,0,0,62.7
2023,University,Private,Busan,Previous,Kyungsung University _Principal university,"1,084",977,866,6,84,21,0,0,107,72,35,0,0,122,555,11,70.4
2023,University,Private,Gyeongsangbuk-do,Previous,Kyungwoon University _Principal university,192,12,4,1,4,3,0,0,180,180,0,0,0,1,0,0,8.3
2023,University,Private,Gyeonggi-do,Previous,Luther University _Principal university,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,100
2023,University,Private,Seoul,Previous,Methodist Theological University _Principal university,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,University,Private,Jeollanam-do,Previous,Mokpo Catholic University _Principal university,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,University,National,Jeollanam-do,Previous,Mokpo National Maritime University _Principal university,7,7,0,0,7,0,0,0,0,0,0,0,0,4,0,0,57.1
2023,University,National,Jeollanam-do,Previous,Mokpo National University _Principal university,166,52,39,5,7,1,0,37,77,77,0,0,0,29,0,0,55.8
2023,University,Private,Daejeon,Previous,Mokwon University _Principal university,750,377,279,41,21,36,0,0,373,351,22,0,0,65,0,0,17.2
2023,University,Private,Gyeonggi-do,Previous,Myongji University Natural Science Campus _Principal university,431,218,0,7,85,126,0,0,213,116,41,0,56,68,0,0,31.2
2023,University,Private,Seoul,Previous,Myongji University Social Science Campus _Campus 2,"1,934","1,238","1,232",0,6,0,0,0,696,411,249,0,36,543,0,0,43.9
2023,University,Private,Gwangju,Previous,Nambu University _Principal university,343,334,220,38,67,9,0,9,0,0,0,0,0,68,0,0,20.4
2023,University,Private,Chungcheongnam-do,Previous,Namseoul University _Principal university,"1,219",522,447,37,24,14,0,2,695,645,50,0,0,92,0,0,17.6
2023,University,National,Busan,Previous,National Korea Maritime & Ocean University _Principal university,187,19,10,2,7,0,0,0,168,147,21,0,0,15,0,0,78.9
2023,Cyber University (University),Private,Seoul,Previous,Open Cyber University Of Korea (OCU) _Principal university,12,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,University,Private,Daejeon,Previous,Pai Chai University _Principal university,518,157,132,8,9,8,0,0,361,297,64,0,0,66,0,0,42
2023,University,Private,Seoul,Previous,Presbyterian University & Theological Seminary _Principal university,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,University,National,Busan,Previous,Pukyong National University _Principal university,"1,062",707,576,39,57,35,0,0,355,281,74,0,0,392,0,0,55.4
